book_id,author_id,filename,title,authors,isbn,pages,publisher,language,description,keywords,pub_type,cover_image
5e1758caa6af51f4a8ab2d365bb364e7,0,,La comunicazione politica cinese rivolta all'estero,Tanina Zappone,9788867056798,288,Ledizioni - LediPublishing,Italian,,,book,
eb9688d4c88d9162392d568dddd290b7,0,,Comunidades negras en el Pacífico colombiano,Odile Hoffmann,9789978226940 9782821844407,,Institut français d’études andines,es,,"noir, migration, Colombie, identité culturelle, ethnie, famille, législation, modernité, XXe siècle",book,
5e1f4c415e418406fee8267edf7b2feb,0,,Una comunità rurale toscana di antico regime,"Bicchierai, Marco",8884534836 8884534844,,Firenze University Press,Italian,,Middle ages; Medieval communities; Tuscany; Medioevo; Comuni medievali; Toscana,book,
1e01f80375e2f38b04ce891eace5ac35,0,,La comunità “impossibile” di Georges Bataille,Marina Galletti,9788889908242 9788889908969,,Edizioni Kaplan,it,,"cinema, cinema francese",book,
e29e69b295e6629e227186748f9078c3,0,,Con la razón y la fuerza: La Rebelión Popular y la Subjetividad Comunista en los ‘80,"Bravo ,Viviana",9789568416195,241,Ariadna Ediciones,Spanish,,Chilean Communist Party; History; political culture; Chile,book,
47c7d7e6ba8ff8f7ccfb6441cad24e12,0,,"Con sabor a vino: Crisis, regulación vitivinícola e inestabilidad política en Mendoza (1913-1923)","Barrio, Patricia",9789503414330,,Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación,spa,,Historia económica;  Economía regional;  Argentina;  Industria vitivinícola;  Producción,book,
4903da748825d28757089de375ce674f,0,,Conan Doyle,Hélène Machinal,9782753500303 9782753546240,,Presses universitaires de Rennes,fr,,"Arthur Conan Doyle, littérature, littérature de langue anglaise, roman policier, fantastique",book,
5da716e62b70212abb9d27c99bd43522,0,,The Concealment of the State,Jason Royce Lindsey,9781501306747,192,Bloomsbury Academic,English,,,book,
fb8131fb7e2cfb59e350857c2d411be4,0,,Conceiving the Goddess : Transformation and Appropriation in Indic Religions,"Bapat ,Jayant Bhalchandra; Mabbett ,Ian",9781925377309 9781925377613,,Monash University Publishing,English,,Theology; goddesses; Indic goddesses; women and religion; religious appropriation; goddess appropriation; Chinnamastā’; Durgā; Devī; Śaktipīṭha; Kuladaivata; Purāṇic narrative; Ravidās; Gaṅgā,book,
4efb5b4f0ad72ee35771d473cdf589db,0,,The concept and measurement of violence against women and men,"Walby ,Sylvia; Towers ,Jude; Balderston ,Susan; Corradi ,Consuelo; Francis ,Brian; Heiskanen ,Markku; Helweg-Larsen ,Karin; Mergaert ,Lut; Olive ,Phillipa; Palmer ,Emma; Stöckl ,Heidi; Strid ,Sofia",9781447332640,192,Policy Press,English,,UN Women; UNODC; gender based violence; gender equality; measuring violence,book,
